level,id,name,group_or_parent,suggested_iso_area,Daily Checklist,Weekly Checklist,Monthly Checklist,Quarterly Checklist,Half-Yearly Evaluation,Annual Evaluation
Department,1,Corporate & Strategic Management,,,,,,,,
Department,2,Management Communication & Live Conference,,,,,,,,
Department,3,Buyer & Trading House Management,,,,,,,,
Department,4,HRM – Full Human Resource Management,,,,,,,,
Department,5,Attendance & Payroll Management,,,,,,,,
Department,6,Training & Competency Management,,,,,,,,
Department,7,Welfare Management,,,,,,,,
Department,8,Medical Management,,,,,,,,
Department,9,Grievance Management,,,,,,,,
Department,10,Compliance Management,,,,,,,,
Department,11,Integrated ISO Management System,,,,,,,,
Department,12,Internal Audit Management,,,,,,,,
Department,13,External / Buyer Audit Management,,,,,,,,
Department,14,Risk Management,,,,,,,,
Department,15,CAPA & Continual Improvement,,,,,,,,
Department,16,HSE / Occupational Health & Safety,,,,,,,,
Department,17,Environmental Management,,,,,,,,
Department,18,Waste Management,,,,,,,,
Department,19,Chemical Management,,,,,,,,
Department,20,IT & Information Security Management,,,,,,,,
Department,21,Document & Record Management,,,,,,,,
Department,22,KPI & Performance Management – All Employees,,,,,,,,
Department,23,Planning Management,,,,,,,,
Department,24,IE Management,,,,,,,,
Department,25,Production Management,,,,,,,,
Department,26,Quality Assurance / QC Management,,,,,,,,
Department,27,Fabric Management,,,,,,,,
Department,28,Accessories Management,,,,,,,,
Department,29,Procurement Management,,,,,,,,
Department,30,Inventory & Store Management,,,,,,,,
Department,31,Marking & Traceability Management,,,,,,,,
Department,32,Accounts & Finance Management,,,,,,,,
Department,33,Commercial Management,,,,,,,,
Department,34,Maintenance Management,,,,,,,,
Department,35,Utility & Energy Management,,,,,,,,
Department,36,Jhute / Leftover / Stock Lot Management,,,,,,,,
Department,37,Emergency & Crisis Management,,,,,,,,
Department,38,Business Continuity Management,,,,,,,,
Department,39,Task & Workflow Management,,,,,,,,
Department,40,Reports & Analytics,,,,,,,,
Department,41,Notification & Alert Center,,,,,,,,
Department,42,User / Role / Permission Management,,,,,,,,
Department,43,Master Data Management,,,,,,,,
