id,name,group,suggested_departments,suggested_sections,Job Purpose,Job Responsibility,Authority,Accountability,Daily Duties,Weekly Duties,Monthly Duties,Quarterly Duties,Half-Yearly Duties,Annual Duties,Required Competency,Required Training,Applicable ISO Requirements,Applicable SOP/WI,Designation Checklist,KPI,Target,Evidence/Record,Performance Evaluation,Supervisor/Reporting Line
1,Managing Director,Executive & Corporate,Corporate & Strategic Management,Corporate Governance; Management Review,,,,,,,,,,,,,,,,,,,,
2,Director,Executive & Corporate,Corporate & Strategic Management,Corporate Governance; Management Review,,,,,,,,,,,,,,,,,,,,
3,Executive Director,Executive & Corporate,Corporate & Strategic Management,Corporate Governance; Management Review,,,,,,,,,,,,,,,,,,,,
4,Chief Executive Officer,Executive & Corporate,Corporate & Strategic Management,Corporate Governance; Management Review,,,,,,,,,,,,,,,,,,,,
5,Chief Operating Officer,Executive & Corporate,Corporate & Strategic Management,Corporate Governance; Management Review,,,,,,,,,,,,,,,,,,,,
6,Chief Financial Officer,Executive & Corporate,Corporate & Strategic Management,Corporate Governance; Management Review,,,,,,,,,,,,,,,,,,,,
7,Chief Human Resources Officer,Executive & Corporate,Corporate & Strategic Management,Corporate Governance; Management Review,,,,,,,,,,,,,,,,,,,,
8,Chief Compliance Officer,Executive & Corporate,Corporate & Strategic Management,Corporate Governance; Management Review,,,,,,,,,,,,,,,,,,,,
9,General Manager,Executive & Corporate,Corporate & Strategic Management,Corporate Governance; Management Review,,,,,,,,,,,,,,,,,,,,
10,Senior General Manager,Executive & Corporate,Corporate & Strategic Management,Corporate Governance; Management Review,,,,,,,,,,,,,,,,,,,,
11,Deputy General Manager,Executive & Corporate,Corporate & Strategic Management,Corporate Governance; Management Review,,,,,,,,,,,,,,,,,,,,
12,Assistant General Manager,Executive & Corporate,Corporate & Strategic Management,Corporate Governance; Management Review,,,,,,,,,,,,,,,,,,,,
13,Factory Manager,Executive & Corporate,Corporate & Strategic Management,Corporate Governance; Management Review,,,,,,,,,,,,,,,,,,,,
14,Deputy Factory Manager,Executive & Corporate,Corporate & Strategic Management,Corporate Governance; Management Review,,,,,,,,,,,,,,,,,,,,
15,Assistant Factory Manager,Executive & Corporate,Corporate & Strategic Management,Corporate Governance; Management Review,,,,,,,,,,,,,,,,,,,,
16,Manager,Management & Officers,Corporate & Strategic Management; System Administration,System,,,,,,,,,,,,,,,,,,,,
17,Senior Manager,Management & Officers,Corporate & Strategic Management; System Administration,System,,,,,,,,,,,,,,,,,,,,
18,Assistant Manager,Management & Officers,Corporate & Strategic Management; System Administration,System,,,,,,,,,,,,,,,,,,,,
19,Deputy Manager,Management & Officers,Corporate & Strategic Management; System Administration,System,,,,,,,,,,,,,,,,,,,,
20,Senior Officer,Management & Officers,Corporate & Strategic Management; System Administration,System,,,,,,,,,,,,,,,,,,,,
21,Officer,Management & Officers,Corporate & Strategic Management; System Administration,System,,,,,,,,,,,,,,,,,,,,
22,Junior Officer,Management & Officers,Corporate & Strategic Management; System Administration,System,,,,,,,,,,,,,,,,,,,,
23,Senior Executive,Management & Officers,Corporate & Strategic Management; System Administration,System,,,,,,,,,,,,,,,,,,,,
24,Executive,Management & Officers,Corporate & Strategic Management; System Administration,System,,,,,,,,,,,,,,,,,,,,
25,Junior Executive,Management & Officers,Corporate & Strategic Management; System Administration,System,,,,,,,,,,,,,,,,,,,,
26,Coordinator,Management & Officers,Corporate & Strategic Management; System Administration,System,,,,,,,,,,,,,,,,,,,,
27,Senior Coordinator,Management & Officers,Corporate & Strategic Management; System Administration,System,,,,,,,,,,,,,,,,,,,,
28,Supervisor,Management & Officers,Corporate & Strategic Management; System Administration,System,,,,,,,,,,,,,,,,,,,,
29,Senior Supervisor,Management & Officers,Corporate & Strategic Management; System Administration,System,,,,,,,,,,,,,,,,,,,,
30,Assistant Supervisor,Management & Officers,Corporate & Strategic Management; System Administration,System,,,,,,,,,,,,,,,,,,,,
31,HR Head,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
32,HR Manager,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
33,Senior HR Officer,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
